WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
      18687.7   7.266570E-5
     18687.89   2.712762E-5
     18688.09   1.966892E-6
     18688.26   6.687672E-6
     18688.44   1.202663E-5
     18688.62   1.730937E-5
     18688.81   2.264829E-5
     18688.99   2.793100E-5
     18689.18   3.326988E-5
     18689.36   3.855256E-5
     18689.55   4.389136E-5
     18689.73   4.923019E-5
     18689.92   5.451281E-5
     18690.08   9.014919E-5
     18690.27   1.654164E-4
     18690.45   2.398910E-4
     18690.64   3.151578E-4
     18690.82   3.896320E-4
     18691.01   4.648980E-4
     18691.19   5.401638E-4
     18691.38   6.146370E-4
     18691.56   6.899025E-4
     18691.74   7.643755E-4
     18691.93   8.396396E-4
     18692.11   8.575534E-4
     18692.28   8.421906E-4
     18692.46   8.248162E-4
