WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3297.682   9.874189E-8
     3298.093   9.988221E-8
     3298.504   1.010247E-7
     3298.917   1.021758E-7
     3299.328   1.033235E-7
     3299.739   1.044735E-7
      3300.15   1.056465E-7
     3300.565   1.068691E-7
     3300.977   1.080834E-7
     3301.388   1.092999E-7
     3301.799   1.105187E-7
     3302.213   1.117463E-7
     3302.624   1.129709E-7
     3303.036   1.141986E-7
     3303.447   1.154276E-7
     3303.861   1.166648E-7
     3304.274   1.179048E-7
     3304.686   1.191424E-7
     3305.098   1.203823E-7
      3305.51   1.216246E-7
     3305.924   1.228752E-7
     3306.336   1.241223E-7
     3306.748   1.253725E-7
      3307.16   1.266249E-7
     3307.574   1.278855E-7
     3307.988   1.291477E-7
       3308.4   1.304084E-7
     3308.813   1.316715E-7
     3309.227   1.329416E-7
     3309.639   1.342091E-7
     3310.052   1.354898E-7
     3310.466   1.368609E-7
     3310.878   1.382290E-7
     3311.293   1.396063E-7
     3311.706   1.409799E-7
     3312.118   1.423565E-7
     3312.531   1.437340E-7
     3312.946   1.451215E-7
     3313.359   1.465064E-7
     3313.771   1.478941E-7
     3314.186   1.492908E-7
     3314.599   1.506840E-7
     3315.012   1.520799E-7
     3315.427   1.534853E-7
     3315.843   1.548935E-7
     3316.256   1.562976E-7
     3316.669   1.577052E-7
     3317.082   1.591155E-7
     3317.498   1.605350E-7
     3317.911   1.619506E-7
     3318.324   1.633692E-7
      3318.74   1.647963E-7
     3319.153   1.662202E-7
     3319.569   1.676538E-7
     3319.983   1.690840E-7
