WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
     2807.395   8.722232E-7
     2807.798   8.718698E-7
     2808.201   8.715177E-7
     2808.605   8.711640E-7
     2809.007   8.708117E-7
      2809.41   8.704605E-7
     2809.814   8.701080E-7
     2810.216   8.697712E-7
     2810.619   8.694469E-7
     2811.023   8.691214E-7
     2811.426   8.687958E-7
     2811.831   8.684690E-7
     2812.235   8.681432E-7
     2812.638   8.678197E-7
     2813.041   8.674956E-7
     2813.446   8.671669E-7
     2813.849   8.668396E-7
     2814.252   8.665135E-7
     2814.657   8.661867E-7
     2815.062   8.658598E-7
     2815.465   8.655331E-7
      2815.87   8.652047E-7
     2816.274   8.648801E-7
     2816.677   8.645565E-7
     2817.082   8.642305E-7
     2817.486   8.639005E-7
      2817.89   8.635706E-7
     2818.295   8.632417E-7
     2818.699   8.629152E-7
     2819.104   8.625881E-7
     2819.508   8.622636E-7
     2819.914   8.619377E-7
     2820.318   8.615872E-7
     2820.722   8.612296E-7
     2821.128   8.608711E-7
     2821.532   8.605159E-7
     2821.938   8.601588E-7
     2822.344   8.598020E-7
     2822.748   8.594462E-7
     2823.153   8.590902E-7
     2823.559   8.587328E-7
     2823.963   8.583769E-7
     2824.368   8.580196E-7
     2824.774   8.576607E-7
     2825.179   8.573036E-7
     2825.584   8.569472E-7
      2825.99   8.565891E-7
     2826.397   8.562311E-7
     2826.802   8.558743E-7
     2827.208   8.555161E-7
     2827.614   8.551590E-7
     2828.019   8.548018E-7
     2828.426   8.544422E-7
     2828.831   8.540837E-7
     2829.236   8.537260E-7
     2829.645   8.533671E-7
      2830.05   8.530121E-7
     2830.456   8.526681E-7
     2830.863   8.523226E-7
     2831.269   8.519815E-7
     2831.674   8.516418E-7
     2832.082   8.513002E-7
     2832.487   8.509567E-7
     2832.893   8.506130E-7
     2833.301   8.502680E-7
     2833.708   8.499230E-7
     2834.115   8.495798E-7
     2834.522   8.492383E-7
     2834.928   8.488976E-7
     2835.334   8.485539E-7
     2835.742   8.482083E-7
     2836.149   8.478642E-7
     2836.555   8.475208E-7
     2836.963   8.471757E-7
     2837.371   8.468288E-7
     2837.778   8.464826E-7
