WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
     12566.35            0.
     12566.99   9.935502E-7
     12567.64   2.234503E-6
     12568.29   3.475483E-6
     12568.93   4.716489E-6
     12569.57   5.931357E-6
     12570.22   6.714844E-6
     12570.87   6.593999E-6
      12571.5   6.475700E-6
     12572.15   6.354850E-6
      12572.8   6.233816E-6
     12573.43   6.115508E-6
     12574.08   5.994648E-6
     12574.73   5.873608E-6
     12575.38   4.876745E-6
     12576.02   3.295972E-6
     12576.67   1.683598E-6
      12577.3   1.027576E-7
     12577.95            0.
      12578.6            0.
     12579.23            0.
     12579.88            0.
     12580.53            0.
     12581.18            0.
     12581.82   2.646980E-7
     12582.47   2.721195E-6
     12583.12   5.174052E-6
     12583.75   7.578940E-6
      12584.4   1.003560E-5
     12585.05   1.233357E-5
      12585.7   1.272048E-5
     12586.33   1.309925E-5
     12586.98   1.348617E-5
     12587.63   1.387310E-5
     12588.27   1.425190E-5
     12588.92   1.463942E-5
     12589.57   1.502639E-5
     12590.21   1.466292E-5
     12590.85   1.269931E-5
     12591.49   1.077403E-5
     12592.15   8.768998E-6
     12592.79   6.846597E-6
     12593.44   4.879858E-6
     12594.08   2.957374E-6
     12594.73   9.905494E-7
     12595.38            0.
     12596.01            0.
     12596.66            0.
     12597.31            0.
     12597.96            0.
      12598.6            0.
     12599.25            0.
      12599.9            0.
     12600.54            0.
     12601.19            0.
     12601.84            0.
     12602.47            0.
     12603.12            0.
     12603.77            0.
     12604.42            0.
     12605.06            0.
     12605.71            0.
     12606.35            0.
       12607.            0.
     12607.65            0.
     12608.29            0.
     12608.95            0.
     12609.59            0.
     12610.24            0.
     12610.87            0.
     12611.53            0.
     12612.18            0.
     12612.81            0.
     12613.46            0.
     12614.12            0.
     12614.75            0.
      12615.4            0.
     12616.05            0.
     12616.71            0.
     12617.34            0.
     12617.99            0.
     12618.64            0.
     12619.28            0.
     12619.93            0.
     12620.58            0.
     12621.24            0.
     12621.87            0.
     12622.52            0.
     12623.16            0.
     12623.81            0.
     12624.46            0.
      12625.1            0.
     12625.75            0.
     12626.41            0.
     12627.06            0.
      12627.7            0.
     12628.35            0.
       12629.            0.
     12629.64            0.
     12630.29            0.
     12630.94            0.
     12631.58            0.
     12632.23            0.
     12632.88   5.805359E-7
     12633.53   1.570895E-6
     12634.17   2.541993E-6
     12634.82   3.532436E-6
     12635.48   2.895799E-6
     12636.11   1.681718E-6
     12636.77   4.396950E-7
      12637.4            0.
     12638.06            0.
     12638.71            0.
     12639.36            0.
       12640.            0.
     12640.65            0.
      12641.3            0.
     12641.94            0.
     12642.59            0.
     12643.25            0.
      12643.9            0.
     12644.54            0.
     12645.19            0.
     12645.84            0.
     12646.48            0.
     12647.13            0.
     12647.79            0.
     12648.43   2.282423E-7
     12649.08   1.723170E-6
     12649.72   3.189067E-6
     12650.38   6.044194E-6
     12651.02   9.724859E-6
     12651.68   1.347874E-5
     12652.33   1.723839E-5
     12652.97   2.091390E-5
     12653.62   2.467388E-5
     12654.26   2.834971E-5
     12654.91   3.211000E-5
     12655.57   2.989176E-5
     12656.22   2.676067E-5
     12656.86   2.369038E-5
     12657.51   2.055434E-5
