WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
     3276.149   2.578153E-8
     3276.558   2.618233E-8
     3276.968   2.658615E-8
     3277.378   2.699107E-8
     3277.786   2.739539E-8
     3278.195   2.780083E-8
     3278.605   2.820935E-8
     3279.014   2.861725E-8
     3279.423   2.902600E-8
     3279.833   2.943754E-8
     3280.242   2.989670E-8
     3280.652   3.039286E-8
     3281.061   3.088824E-8
     3281.472   3.138680E-8
     3281.881   3.188461E-8
      3282.29   3.238410E-8
     3282.701   3.288673E-8
      3283.11   3.338891E-8
     3283.519   3.389247E-8
      3283.93   3.439977E-8
     3284.339   3.490580E-8
      3284.75   3.541554E-8
     3285.162   3.592664E-8
     3285.571   3.643697E-8
      3285.98   3.694862E-8
      3286.39   3.746188E-8
     3286.802   3.797858E-8
     3287.211   3.849416E-8
     3287.621   3.901131E-8
     3288.034   3.953442E-8
     3288.444   4.005451E-8
     3288.854   4.057559E-8
     3289.263   4.109827E-8
     3289.675   4.162473E-8
     3290.085   4.216392E-8
     3290.497   4.276038E-8
     3290.907   4.335589E-8
     3291.317   4.395227E-8
     3291.728   4.455078E-8
     3292.141   4.515596E-8
     3292.552   4.575762E-8
     3292.962   4.636113E-8
     3293.374   4.696821E-8
     3293.785   4.757458E-8
     3294.195   4.818226E-8
     3294.607   4.879454E-8
     3295.018   4.940578E-8
      3295.43   5.002093E-8
     3295.841   5.063502E-8
     3296.254   5.125352E-8
     3296.665   5.187095E-8
     3297.075   5.248986E-8
     3297.488   5.311269E-8
     3297.899   5.373443E-8
      3298.31   5.435824E-8
     3298.723   5.498619E-8
     3299.134   5.561293E-8
     3299.547   5.624356E-8
     3299.958   5.687342E-8
     3300.371   5.753488E-8
     3300.782   5.819775E-8
     3301.194   5.886241E-8
     3301.607   5.953164E-8
     3302.019   6.019918E-8
      3302.43   6.086905E-8
     3302.844   6.154317E-8
     3303.257   6.221839E-8
     3303.669   6.289242E-8
      3304.08   6.356755E-8
     3304.494   6.424767E-8
     3304.906   6.492640E-8
     3305.318   6.560660E-8
     3305.731   6.629147E-8
     3306.143   6.697456E-8
     3306.555   6.765953E-8
     3306.971   6.835203E-8
     3307.383   6.903972E-8
     3307.795   6.972883E-8
     3308.208   7.041999E-8
     3308.622   7.111563E-8
     3309.034   7.180978E-8
     3309.447   7.250490E-8
     3309.861   7.320472E-8
     3310.275   7.393970E-8
     3310.687   7.468979E-8
       3311.1   7.544197E-8
     3311.515   7.619938E-8
     3311.927   7.695529E-8
     3312.342   7.771535E-8
     3312.755   7.847333E-8
     3313.168   7.923416E-8
     3313.581   7.999662E-8
     3313.995   8.076434E-8
      3314.41   8.153329E-8
     3314.823   8.230071E-8
     3315.238   8.307305E-8
     3315.651   8.384440E-8
     3316.064   8.461689E-8
     3316.479   8.539467E-8
     3316.893   8.617086E-8
     3317.306   8.694868E-8
     3317.721   8.773178E-8
     3318.137   8.851648E-8
      3318.55   8.929939E-8
     3318.964   9.008391E-8
     3319.379   9.087393E-8
     3319.793   9.166188E-8
     3320.207   9.245597E-8
     3320.622   9.325903E-8
     3321.036   9.406037E-8
      3321.45   9.486399E-8
     3321.866   9.567248E-8
     3322.282   9.648256E-8
     3322.696   9.729090E-8
      3323.11   9.810080E-8
     3323.526   9.891606E-8
      3323.94   9.972911E-8
     3324.354   1.005440E-7
      3324.77   1.013637E-7
     3325.187   1.021856E-7
     3325.601   1.030059E-7
     3326.015   1.038271E-7
     3326.432   1.046539E-7
     3326.846   1.054788E-7
     3327.261   1.063054E-7
     3327.677   1.071367E-7
     3328.092   1.079660E-7
     3328.507   1.087977E-7
     3328.924   1.096350E-7
      3329.34   1.104732E-7
     3329.755   1.113089E-7
      3330.17   1.121374E-7
     3330.587   1.129577E-7
     3331.002   1.137761E-7
     3331.417   1.145960E-7
     3331.834   1.154209E-7
      3332.25   1.162441E-7
     3332.667   1.170722E-7
     3333.082   1.178985E-7
     3333.499   1.187300E-7
     3333.915   1.195596E-7
     3334.332   1.203942E-7
     3334.747   1.212268E-7
     3335.163   1.220616E-7
     3335.579   1.228976E-7
     3335.996   1.237391E-7
     3336.412   1.245786E-7
      3336.83   1.254236E-7
     3337.247   1.262698E-7
     3337.663   1.271132E-7
     3338.079   1.279589E-7
     3338.497   1.288107E-7
     3338.913   1.296602E-7
     3339.329   1.305103E-7
     3339.745   1.313624E-7
     3340.165   1.322087E-7
     3340.582   1.330266E-7
     3340.998   1.338459E-7
     3341.416   1.346702E-7
     3341.833   1.354925E-7
     3342.249   1.363163E-7
     3342.667   1.371450E-7
     3343.084   1.379722E-7
       3343.5   1.388003E-7
     3343.917   1.396303E-7
     3344.338   1.404687E-7
     3344.754   1.413011E-7
     3345.171   1.421349E-7
      3345.59   1.429744E-7
     3346.007   1.438109E-7
     3346.424   1.446493E-7
     3346.843   1.454930E-7
      3347.26   1.463346E-7
     3347.679   1.471810E-7
     3348.098   1.480289E-7
     3348.515   1.488749E-7
     3348.933   1.497228E-7
      3349.35   1.505712E-7
     3349.769   1.514249E-7
     3350.187   1.522635E-7
     3350.604   1.530877E-7
     3351.023   1.539162E-7
     3351.441   1.547431E-7
     3351.859   1.555712E-7
     3352.278   1.564037E-7
     3352.698   1.572380E-7
     3353.116   1.580700E-7
     3353.534   1.589026E-7
     3353.954   1.597408E-7
     3354.372   1.605770E-7
      3354.79   1.614146E-7
     3355.209   1.622572E-7
     3355.629   1.631008E-7
