WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
     2125.638   4.781632E-9
     2126.018   4.779946E-9
     2126.397   4.778252E-9
     2126.775   4.776558E-9
     2127.156   4.774847E-9
     2127.535   4.773134E-9
     2127.914   4.771422E-9
     2128.294   4.769698E-9
     2128.673   4.767968E-9
     2129.052   4.766236E-9
     2129.432   4.764494E-9
     2129.812   4.762745E-9
     2130.192   4.763287E-9
     2130.572   4.766080E-9
     2130.951   4.768862E-9
     2131.331   4.771657E-9
     2131.711   4.774452E-9
     2132.091   4.777239E-9
     2132.471   4.780036E-9
     2132.852   4.782835E-9
     2133.231   4.785625E-9
     2133.612   4.788425E-9
     2133.994   4.791234E-9
     2134.373   4.794027E-9
     2134.754   4.796829E-9
     2135.135   4.799632E-9
     2135.515   4.802427E-9
     2135.896   4.805231E-9
     2136.277   4.808038E-9
     2136.657   4.810837E-9
     2137.039   4.813653E-9
     2137.419   4.816453E-9
     2137.801   4.819265E-9
     2138.182   4.822211E-9
     2138.564   4.825311E-9
     2138.944   4.828402E-9
     2139.326   4.831502E-9
     2139.708   4.834606E-9
     2140.088   4.837994E-9
      2140.47   4.842370E-9
     2140.852   4.846747E-9
     2141.234   4.851131E-9
     2141.616   4.855518E-9
     2141.997   4.859892E-9
     2142.379   4.864286E-9
     2142.762   4.868683E-9
     2143.143   4.873069E-9
     2143.525   4.877470E-9
     2143.909   4.881893E-9
      2144.29   4.886288E-9
     2144.673   4.890701E-9
     2145.055   4.895117E-9
     2145.437   4.899525E-9
      2145.82   4.903948E-9
     2146.203   4.908377E-9
     2146.585   4.912796E-9
     2146.968   4.917227E-9
     2147.351   4.921666E-9
     2147.734   4.926107E-9
     2148.117   4.930553E-9
     2148.499   4.934986E-9
     2148.883   4.939437E-9
     2149.266   4.943893E-9
     2149.648   4.948339E-9
     2150.032   4.952710E-9
     2150.416   4.956095E-9
     2150.799   4.959483E-9
     2151.183   4.962874E-9
     2151.567   4.966265E-9
      2151.95   4.969650E-9
     2152.333   4.973044E-9
     2152.718   4.976441E-9
     2153.101   4.979832E-9
     2153.485   4.983234E-9
     2153.869   4.986638E-9
     2154.252   4.990033E-9
     2154.638   4.993450E-9
     2155.022   4.996861E-9
     2155.406   5.000261E-9
      2155.79   5.003674E-9
     2156.175   5.007091E-9
     2156.558   5.010497E-9
     2156.943   5.013916E-9
     2157.328   5.017340E-9
     2157.713   5.020762E-9
     2158.098   5.024186E-9
     2158.483   5.027614E-9
     2158.867   5.031033E-9
     2159.252   5.034464E-9
     2159.637   5.037898E-9
     2160.022   5.040893E-9
     2160.407   5.036718E-9
     2160.792   5.032546E-9
     2161.177   5.028355E-9
     2161.564   5.024143E-9
     2161.948   5.019946E-9
     2162.334   5.015730E-9
      2162.72   5.011502E-9
     2163.105   5.007281E-9
      2163.49   5.003040E-9
     2163.877   4.998788E-9
     2164.261   4.994543E-9
     2164.649   4.990262E-9
     2165.035   4.985986E-9
      2165.42   4.981713E-9
     2165.807   4.977422E-9
     2166.193   4.973121E-9
     2166.578   4.968826E-9
     2166.965   4.964506E-9
     2167.352   4.960180E-9
     2167.737   4.955859E-9
     2168.124   4.951516E-9
     2168.511   4.947163E-9
     2168.898   4.942803E-9
     2169.285   4.938434E-9
     2169.671   4.934073E-9
     2170.058   4.929716E-9
     2170.445   4.925524E-9
     2170.831   4.921337E-9
